name_with_type,iso_code,06.03.2020,07.03.2020,08.03.2020,09.03.2020,10.03.2020,11.03.2020,12.03.2020,13.03.2020,14.03.2020,15.03.2020,16.03.2020,17.03.2020,18.03.2020,19.03.2020,20.03.2020,21.03.2020,22.03.2020,23.03.2020,24.03.2020,25.03.2020,26.03.2020,27.03.2020,28.03.2020,29.03.2020,30.03.2020,31.03.2020,01.04.2020,02.04.2020,03.04.2020,04.04.2020,05.04.2020,06.04.2020,07.04.2020,08.04.2020,09.04.2020,10.04.2020,11.04.2020,12.04.2020,13.04.2020,14.04.2020,15.04.2020,16.04.2020,17.04.2020,18.04.2020,19.04.2020,20.04.2020,21.04.2020,22.04.2020,23.04.2020,24.04.2020,25.04.2020,26.04.2020,27.04.2020,28.04.2020,29.04.2020,30.04.2020,01.05.2020,02.05.2020,03.05.2020,04.05.2020,05.05.2020,06.05.2020,07.05.2020,08.05.2020,09.05.2020,10.05.2020,11.05.2020
URL страницы,,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=13916,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=13920,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=13923,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=13925,,,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=13971,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=13982,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=13988,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=13991,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=13999,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14033,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14045,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14060,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14070,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14084,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14086,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14087,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14104,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14108,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14115,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14125,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14132,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14134,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14137,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14147,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14157,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14160,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14171,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14179,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14182,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14185,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14193,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14208,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14214,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14219,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14225,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14227,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14231,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14243,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14251,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14258,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14264,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14269,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14272,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14279,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14289,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14297,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14303,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14316,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14323,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14325,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14329,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14344,https://rospotrebnadzor.ru/about/info/news/news_details.php?ELEMENT_ID=14349,,,,,,,,,,,,
Всего случаев (из документа),,10,14,17,20,24,28,34,45,59,63,93,114,147,199,253,306,367,438,495,658,840,1036,1264,1534,1836,2337,2777,3548,4149,4731,5389,6343,7497,8672,10131,11917,13584,15770,18328,21102,24490,27938,32008,36793,42853,47121,52763,57999,62773,68622,74588,80949,87147,93558,99399,,,,,,,,,,,,
Новых случаев (из документа),,6,4,3,3,4,4,6,11,14,4,30,21,33,52,54,53,61,71,57,163,182,196,228,270,302,500,440,771,601,582,658,954,1154,1175,1459,1786,1667,2186,2558,2774,3388,3448,4070,4785,6060,4268,5642,5236,4774,5849,5966,6361,6198,6411,5841,,,,,,,,,,,,
Разница (должно быть новых случаев),,,4,3,3,4,4,6,11,14,4,30,21,33,52,54,53,61,71,57,163,182,196,228,270,302,501,440,771,601,582,658,954,1154,1175,1459,1786,1667,2186,2558,2774,3388,3448,4070,4785,6060,4268,5642,5236,4774,5849,5966,6361,6198,6411,5841,,,,,,,,,,,,
Всего выздоровело (из документа),,,,,,,,3,3,3,3,4,5,5,5,5,5,5,17,22,29,38,45,49,64,66,121,190,235,281,333,355,406,494,580,698,795,1045,1291,1470,1694,1986,2304,2590,3057,3291,3446,3873,4420,4891,5568,6250,6767,7346,8456,10286,,,,,,,,,,,,
Новых случаев,,6,4,3,3,0,0,6,11,14,4,30,21,33,52,54,53,61,71,57,163,182,196,228,270,302,500,440,771,601,582,658,954,1154,1175,1459,1786,1667,2186,2558,2774,3388,3448,4070,4785,6060,4268,5642,5236,4774,5849,5966,6361,6198,6411,5841,,,,,,,,,,,,
г Москва,RU-MOW,5,,,3,,,4,5,9,,20,4,31,12,33,6,54,71,28,120,136,157,114,197,212,387,267,595,448,434,536,591,697,660,857,1124,1030,1306,1355,1489,1774,1370,1959,2649,3570,2026,3083,2548,1959,2957,2612,2971,2871,3075,2220,,,,,,,,,,,,
г Санкт-Петербург,RU-SPE,,1,,,,,,3,1,,3,,,1,4,2,,,5,,5,,11,5,8,48,27,22,9,15,20,35,69,34,44,35,80,69,121,121,130,154,424,139,114,86,127,294,191,253,215,151,161,198,290,,,,,,,,,,,,
Московская обл,RU-MOS,,,1,,,,,1,1,3,1,1,,5,1,17,,,,6,,8,36,27,7,,15,43,34,49,45,82,67,95,199,182,152,278,495,460,272,467,472,428,709,578,718,631,688,611,605,576,638,523,686,,,,,,,,,,,,
Брянская обл,RU-BRY,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,2,,2,12,,5,32,1,40,,26,18,1,,22,37,27,28,23,42,29,49,60,35,27,78,43,26,115,,,,,,,,,,,,
Калининградская обл,RU-KGD,,,1,,,,1,,1,,,2,,,,2,,,,1,,,3,,1,,,7,,,,,29,1,3,10,3,5,4,5,5,8,12,11,11,12,6,19,8,18,21,26,28,39,23,,,,,,,,,,,,
Ставропольский край,RU-STA,,,,,,,,,,,,,,,,1,,,,1,3,,,,1,,,5,,,,9,19,,3,10,14,8,12,9,20,28,12,54,23,12,22,11,55,26,27,36,33,37,28,,,,,,,,,,,,
Пензенская обл,RU-PNZ,,,,,,,,,,,,1,,,,,,,,1,,,,5,,5,4,,11,,,5,19,1,,15,,,17,,16,7,12,21,,25,15,16,15,21,23,6,22,39,42,,,,,,,,,,,,
Ханты-Мансийский Автономный округ - Югра,RU-KHM,,,,,,,,,,,,,,1,,1,,,,,2,,,1,,,3,,8,,3,,19,3,,,,,,15,15,39,18,33,14,13,9,6,12,2,16,41,23,41,28,,,,,,,,,,,,
Ямало-Ненецкий АО,RU-YAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,18,11,,,9,12,4,,7,22,6,5,10,24,6,,94,,37,45,27,12,22,,,,,,,,,,,,
