date,iso_code,isolation
2020-04-25,RU-AD,4.0
2020-04-25,RU-AL,3.5
2020-04-25,RU-ALT,3.7
2020-04-25,RU-AMU,3.5
2020-04-25,RU-ARK,4.1
2020-04-25,RU-AST,4.0
2020-04-25,RU-BA,4.0
2020-04-25,RU-BEL,3.6
2020-04-25,RU-BRY,4.1
2020-04-25,RU-BU,3.8
2020-04-25,RU-CE,4.2
2020-04-25,RU-CHE,3.8
2020-04-25,RU-CU,4.0
2020-04-25,RU-DA,4.1
2020-04-25,RU-IRK,3.6
2020-04-25,RU-IVA,4.0
2020-04-25,RU-KAM,3.9
2020-04-25,RU-KB,3.9
2020-04-25,RU-KC,3.7
2020-04-25,RU-KDA,3.9
2020-04-25,RU-KEM,3.5
2020-04-25,RU-KGD,3.9
2020-04-25,RU-KGN,3.7
2020-04-25,RU-KHA,3.8
2020-04-25,RU-KHM,3.9
2020-04-25,RU-KIR,4.0
2020-04-25,RU-KK,3.4
2020-04-25,RU-KL,3.9
2020-04-25,RU-KLU,4.1
2020-04-25,RU-KO,4.1
2020-04-25,RU-KOS,4.0
2020-04-25,RU-KR,4.2
2020-04-25,RU-KRS,3.9
2020-04-25,RU-KYA,3.6
2020-04-25,RU-LIP,3.9
2020-04-25,RU-MAG,3.7
2020-04-25,RU-ME,4.1
2020-04-25,RU-MO,4.1
2020-04-25,RU-MOS,4.2
2020-04-25,RU-MOW,4.2
2020-04-25,RU-MUR,4.3
2020-04-25,RU-NGR,4.0
2020-04-25,RU-NIZ,4.1
2020-04-25,RU-NVS,3.7
2020-04-25,RU-OMS,3.9
2020-04-25,RU-ORE,3.8
2020-04-25,RU-ORL,4.0
2020-04-25,RU-PER,4.1
2020-04-25,RU-PNZ,3.8
2020-04-25,RU-PRI,3.7
2020-04-25,RU-PSK,4.0
2020-04-25,RU-ROS,4.0
2020-04-25,RU-RYA,3.9
2020-04-25,RU-SA,3.7
2020-04-25,RU-SAK,3.5
2020-04-25,RU-SAM,3.8
2020-04-25,RU-SAR,4.0
2020-04-25,RU-SE,3.8
2020-04-25,RU-SMO,3.9
2020-04-25,RU-SPE,4.0
2020-04-25,RU-STA,3.9
2020-04-25,RU-SVE,3.8
2020-04-25,RU-TA,3.9
2020-04-25,RU-TAM,3.8
2020-04-25,RU-TOM,3.7
2020-04-25,RU-TUL,3.8
2020-04-25,RU-TVE,3.9
2020-04-25,RU-TY,3.3
2020-04-25,RU-TYU,3.9
2020-04-25,RU-UD,4.1
2020-04-25,RU-ULY,3.9
2020-04-25,RU-VGG,3.7
2020-04-25,RU-VLA,4.0
2020-04-25,RU-VLG,4.1
2020-04-25,RU-VOR,3.8
2020-04-25,RU-YAR,4.0
2020-04-25,RU-YEV,3.8
2020-04-25,RU-ZAB,3.7
2020-04-25,UA-40,4.1
2020-04-25,UA-43,4.2
