,Unnamed: 0,Unnamed: 0_x,lat,lng,name,osm_accuracy,population,district,subject,density,ivl_per_100k,ivl_number,ekmo_per_100k,ekmo_number,life_quality_place_rating,ecology,cleanness,public_services,neighbourhood,children_places,sport_and_outdoor,shops_and_malls,public_transport,security,life_costs,infected_3003,died_3003,recovered_3003,sick_3003,infected_1503,died_1503,recovered_1503,sick_1503,inf_rate,avg_temp_min,avg_temp_max,avg_temp_std,avg_temp_median,humidity_min,humidity_max,humidity_std,humidity_median,pressure_min,pressure_max,pressure_std,pressure_median,wind_speed_ms_min,wind_speed_ms_max,wind_speed_ms_std,wind_speed_ms_median,region_x,region_mapped_x,urban_50-54_years,urban_55-59_years,urban_60-64_years,urban_65-69_years,urban_70-74_years,urban_75-79_years,urban_80-84_years,urban_85-89_years,urban_90-94_years,rural_50-54_years,rural_55-59_years,rural_60-64_years,rural_65-69_years,rural_70-74_years,rural_75-79_years,rural_80-84_years,rural_85-89_years,rural_90-94_years,region.1,region.2,work_ratio_15-72_years,work_ratio_55-64_years,work_ratio_15-24_years,work_ratio_15-64_years,work_ratio_25-54_years,region_mapped_2,equality ,num_patients_tubercul_1992,num_patients_tubercul_1993,num_patients_tubercul_1994,num_patients_tubercul_1995,num_patients_tubercul_1996,num_patients_tubercul_1997,num_patients_tubercul_1998,num_patients_tubercul_1999,num_patients_tubercul_2000,num_patients_tubercul_2001,num_patients_tubercul_2002,num_patients_tubercul_2003,num_patients_tubercul_2004,num_patients_tubercul_2005,num_patients_tubercul_2006,num_patients_tubercul_2007,num_patients_tubercul_2008,num_patients_tubercul_2009,num_patients_tubercul_2010,num_patients_tubercul_2011,num_patients_tubercul_2012,num_patients_tubercul_2013,num_patients_tubercul_2014,num_patients_tubercul_2015,num_patients_tubercul_2016,num_patients_tubercul_2017,region_mapped_v3,volume_serv_household_2017,volume_serv_chargeable_2017,volume_serv_transport_2017,volume_serv_post_2017,volume_serv_accommodation_2017,volume_serv_telecom_2017,volume_serv_others_2017,volume_serv_veterinary_2017,volume_serv_housing_2017,volume_serv_education_2017,volume_serv_medicine_2017,volume_serv_disabled_2017,volume_serv_culture_2017,volume_serv_sport_2017,volume_serv_hotels_2017,volume_serv_tourism_2017,volume_serv_sanatorium_2017,region_mapped_v4,num_phones_rural_2018,num_phones_urban_2019,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,region_y,region_mapped_y,bus_march_travel_18,bus_april_travel_18,epirank_avia,epirank_bus,epirank_train,epirank_avia_cat,epirank_bus_cat,epirank_train_cat,Unnamed: 0_y,id,whole_population,urban,rural,has_metro
0,0,0,52.651054599999995,90.101159,Абаза,0.593507677970318,17111.0,Сибирский,Хакасия,8.68,,,,,,,,,,,,,,,,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.3862943611198906,-12.29,5.57,4.433931610186328,-2.57,48.71,82.43,9.471546864161102,67.29,736.0,749.0,4.267261863247203,741.0,1.0,9.0,2.5128242505765717,4.0,Республика Хакасия,Республика Хакасия,18725.0,23155.99,24849.0,21753.0,12647.0,6409.0,6580.0,2605.0,1235.0,9467.0,12105.0,11901.0,9621.0,4897.0,2448.0,2906.0,1219.0,434.0,Республика Хакасия,Республика Хакасия,56.0,23.6,35.79,62.2,80.8,Республика Хакасия,TRUE,222.0,269.0,312.0,324.0,460.0,856.0,672.0,716.0,676.0,712.0,802.0,719.0,752.0,736.0,637.0,548.0,605.0,634.0,528.0,527.0,515.0,372.0,330.0,321.0,286.0,275.0,Республика Хакасия,2081914.89,17706314.19,2089184.1,109507.89,375875.7,3580675.3,518716.1,32559.6,1706341.2,1142503.6,755546.3,178749.6,285525.89,148893.6,235566.0,138562.9,271081.59,Республика Хакасия,53847.0,16199.99,,,,,,,,,,,,Республика Хакасия,Республика Хакасия,21414.0,22186.0,,2.278094611643205e-11,,,0.0,,70,Хакасия,64241.0,44921.0,19320.0,0.0
1,1,1,53.7209024,91.442435,Абакан,0.609790990910155,165183.0,Сибирский,Хакасия,8.68,,,,,26.0,93.0,61.0,11.0,25.0,64.0,45.0,51.0,5.0,31.0,17.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.3862943611198906,-12.29,5.57,4.433931610186328,-2.57,48.71,82.43,9.471546864161102,67.29,736.0,749.0,4.267261863247203,741.0,1.0,9.0,2.5128242505765717,4.0,Республика Хакасия,Республика Хакасия,18725.0,23155.99,24849.0,21753.0,12647.0,6409.0,6580.0,2605.0,1235.0,9467.0,12105.0,11901.0,9621.0,4897.0,2448.0,2906.0,1219.0,434.0,Республика Хакасия,Республика Хакасия,56.0,23.6,35.79,62.2,80.8,Республика Хакасия,TRUE,222.0,269.0,312.0,324.0,460.0,856.0,672.0,716.0,676.0,712.0,802.0,719.0,752.0,736.0,637.0,548.0,605.0,634.0,528.0,527.0,515.0,372.0,330.0,321.0,286.0,275.0,Республика Хакасия,2081914.89,17706314.19,2089184.1,109507.89,375875.7,3580675.3,518716.1,32559.6,1706341.2,1142503.6,755546.3,178749.6,285525.89,148893.6,235566.0,138562.9,271081.59,Республика Хакасия,53847.0,16199.99,,,,,,,,,,,,Республика Хакасия,Республика Хакасия,21414.0,22186.0,0.0009033557273906293,8.343085797798249e-10,0.0013830926188929749,0.0,1.0,0.0,70,Хакасия,64241.0,44921.0,19320.0,0.0
2,2,2,53.6828,53.655701,Абдулино,0.58718281351088,20663.0,Приволжский,Оренбургская область,15.95,27.7,542.0,0.05,1.0,,,,,,,,,,,,7.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.079441541679836,-6.71,5.71,3.9179911033225028,-1.0,70.43,91.86,7.827527128817951,85.29,745.0,771.0,8.39103830342368,759.0,1.0,5.0,1.1832159566199232,4.0,Оренбургская область,Оренбургская область,65561.0,81799.0,80373.99,64567.99,41731.0,22722.0,27330.0,8518.0,4254.0,54073.99,67288.0,61433.99,44975.0,27214.99,17180.99,21453.99,6733.0,3378.99,Оренбургская область,Оренбургская область,57.9,36.2,23.2,63.8,83.6,Оренбургская область,TRUE,772.0,884.0,940.0,1043.0,1155.0,1328.0,1632.0,1718.0,1851.0,1661.0,2135.0,1909.0,1038.0,2124.0,2371.0,2312.0,2405.0,2237.0,2030.0,1952.0,1778.0,1798.0,1614.0,1574.0,1494.0,1295.0,Оренбургская область,9287020.8,83376940.59,11807432.4,358862.3,1061589.39,12352723.39,2317287.79,204331.5,7240938.8,5053414.5,5283968.6,58508.2,939338.8,601793.19,1233797.3,1445976.6,915284.5,Оренбургская область,306123.99,106326.0,,,,,,,,,,,,Оренбургская область,Оренбургская область,135226.1,133554.9,,5.164813290358328e-14,0.00037583157367010114,,0.0,0.0,55,Оренбургская область,270081.0,156761.0,113320.0,0.0
3,3,3,44.8649528,38.1578189,Абинск,0.5978643972223641,34926.0,Южный,Краснодарский край,73.73,17.6,1000.0,0.07,4.0,,,,,,,,,,,,17.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,2.8903717578961645,5.14,16.86,3.5827999160007864,12.5,48.43,81.57,9.804924758702104,67.43,756.0,766.0,3.1667919774704827,762.0,2.0,6.0,1.0465362369445672,3.0,Краснодарский край,Краснодарский край,181771.0,206916.0,198170.99,179246.99,124592.0,72718.99,80976.99,24048.99,10715.99,154571.0,186884.0,178566.99,154503.0,99462.0,65497.99,76176.99,21533.99,12139.99,Краснодарский край,Краснодарский край,64.59,52.4,23.5,72.2,89.3,Краснодарский край,TRUE,1530.0,1915.0,2197.0,2078.0,2242.0,2001.0,2852.0,3279.0,3710.0,3741.0,3637.0,3620.0,3573.0,3276.0,3105.0,3676.0,3653.0,3443.0,3623.0,254.0,3352.0,2953.0,2659.0,2443.0,2135.0,1981.0,Краснодарский край,65461511.7,479806103.39,77709820.79,2281604.0,24220986.6,59673149.39,15273758.5,1228448.8,17486987.39,26762438.69,19799493.7,351889.2,7763936.9,4763420.0,49853516.5,7880288.2,16026330.39,Краснодарский край,589577.99,315344.0,,,,,,,,,,,,Краснодарский край,Краснодарский край,329792.1,328273.8,,1.1876762430198455e-14,0.00018595093085925583,,0.0,0.0,34,Краснодарский край,847286.0,452437.0,394849.0,0.0
4,4,4,56.525459700000006,52.9972512,Агрыз,0.596614665199801,19299.0,Приволжский,Татарстан,57.27,28.2,1100.0,0.0,,,,,,,,,,,,,14.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,2.7080502011022096,-2.14,5.0,2.0718563105168686,2.14,66.43,92.14,7.82648239419643,76.86,739.0,766.0,8.129897791192603,758.0,2.0,7.0,1.3557637102737476,5.0,Республика Татарстан,Республика Татарстан,168745.99,211818.99,204298.99,160730.99,102643.0,54302.0,60033.99,24832.99,10697.0,68434.99,76880.99,67086.99,49885.99,31964.99,25153.0,31070.99,15329.99,6277.0,Республика Татарстан (Татарстан),Республика Татарстан (Татарстан),67.59,47.7,29.4,74.09,93.1,Республика Татарстан (Татарстан),TRUE,1195.0,1261.0,1462.0,2367.0,2533.0,2522.0,2627.0,2494.0,2832.0,2704.0,2713.0,2464.0,2298.0,2308.0,2298.0,2207.0,2221.0,2203.0,2020.0,1898.0,1816.0,1596.0,1629.0,1524.0,1427.0,1300.0,Республика Татарстан (Татарстан),40838346.0,267909947.19,44363590.59,394884.4,4134522.59,26988392.0,11023179.49,559497.0,17866739.6,27483627.3,18770341.6,177413.8,4710889.5,3687193.5,5292473.8,3577782.5,2956238.8,Республика Татарстан (Татарстан),647134.99,144303.99,,,,,,,,,,,,Республика Татарстан,Республика Татарстан,157885.0,162064.9,,4.750316460066271e-13,0.001003075774004623,,0.0,0.0,49,Татарстан,527462.0,371965.0,155497.0,0.0
5,5,5,54.86295550000001,53.0792275,Азнакаево,0.5950572107405551,34859.0,Приволжский,Татарстан,57.27,28.2,1100.0,0.0,,,,,,,,,,,,,14.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,2.7080502011022096,-2.14,5.0,2.0718563105168686,2.14,66.43,92.14,7.82648239419643,76.86,739.0,766.0,8.129897791192603,758.0,2.0,7.0,1.3557637102737476,5.0,Республика Татарстан,Республика Татарстан,168745.99,211818.99,204298.99,160730.99,102643.0,54302.0,60033.99,24832.99,10697.0,68434.99,76880.99,67086.99,49885.99,31964.99,25153.0,31070.99,15329.99,6277.0,Республика Татарстан (Татарстан),Республика Татарстан (Татарстан),67.59,47.7,29.4,74.09,93.1,Республика Татарстан (Татарстан),TRUE,1195.0,1261.0,1462.0,2367.0,2533.0,2522.0,2627.0,2494.0,2832.0,2704.0,2713.0,2464.0,2298.0,2308.0,2298.0,2207.0,2221.0,2203.0,2020.0,1898.0,1816.0,1596.0,1629.0,1524.0,1427.0,1300.0,Республика Татарстан (Татарстан),40838346.0,267909947.19,44363590.59,394884.4,4134522.59,26988392.0,11023179.49,559497.0,17866739.6,27483627.3,18770341.6,177413.8,4710889.5,3687193.5,5292473.8,3577782.5,2956238.8,Республика Татарстан (Татарстан),647134.99,144303.99,,,,,,,,,,,,Республика Татарстан,Республика Татарстан,157885.0,162064.9,,2.101129165981035e-14,,,0.0,,49,Татарстан,527462.0,371965.0,155497.0,0.0
6,6,6,47.0884477,39.424074559130396,Азов,0.633784277105689,82882.0,Южный,Ростовская область,41.87,15.3,643.0,0.05,2.0,174.0,120.0,114.0,148.0,89.0,170.0,188.0,185.0,210.0,217.0,162.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0986122886681096,3.29,15.29,3.5123331005933665,11.29,42.0,76.86,10.147926506481623,66.43,753.0,765.0,3.6384193323605762,760.0,1.0,5.0,1.3345232785352157,3.0,Ростовская область,Ростовская область,165850.0,196520.99,191840.99,172330.0,119397.99,72029.0,82917.99,26453.99,11798.0,87358.99,107964.99,100362.99,80691.0,50455.0,34810.0,39256.0,11841.99,5732.0,Ростовская область,Ростовская область,63.5,48.2,25.0,69.2,85.7,Ростовская область,TRUE,1440.0,1573.0,1843.0,1970.0,2134.0,2222.0,2254.0,2913.0,3196.0,3251.0,3432.0,3487.0,3622.0,3509.0,3121.0,3248.0,3175.0,3044.0,3020.0,185.0,2542.0,2235.0,1981.0,1940.0,1691.0,1712.0,Ростовская область,40710308.2,214509695.0,26070934.2,1119143.29,890382.7,29732454.2,6058792.0,617009.5,11711900.19,17022161.6,15981185.89,863749.7,4006867.5,2263252.49,2192022.9,2764336.5,567561.4,Ростовская область,556464.0,123387.99,,,,,,,,,,,,Ростовская область,Ростовская область,231363.8,243726.6,,6.967077173620352e-14,,,0.0,,37,Ростовская область,665244.0,455615.0,209629.0,0.0
7,7,7,47.26869600000001,39.861362,Аксай,0.589467215043441,41984.0,Южный,Ростовская область,41.87,15.3,643.0,0.05,2.0,,,,,,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0986122886681096,3.29,15.29,3.5123331005933665,11.29,42.0,76.86,10.147926506481623,66.43,753.0,765.0,3.6384193323605762,760.0,1.0,5.0,1.3345232785352157,3.0,Ростовская область,Ростовская область,165850.0,196520.99,191840.99,172330.0,119397.99,72029.0,82917.99,26453.99,11798.0,87358.99,107964.99,100362.99,80691.0,50455.0,34810.0,39256.0,11841.99,5732.0,Ростовская область,Ростовская область,63.5,48.2,25.0,69.2,85.7,Ростовская область,TRUE,1440.0,1573.0,1843.0,1970.0,2134.0,2222.0,2254.0,2913.0,3196.0,3251.0,3432.0,3487.0,3622.0,3509.0,3121.0,3248.0,3175.0,3044.0,3020.0,185.0,2542.0,2235.0,1981.0,1940.0,1691.0,1712.0,Ростовская область,40710308.2,214509695.0,26070934.2,1119143.29,890382.7,29732454.2,6058792.0,617009.5,11711900.19,17022161.6,15981185.89,863749.7,4006867.5,2263252.49,2192022.9,2764336.5,567561.4,Ростовская область,556464.0,123387.99,,,,,,,,,,,,Ростовская область,Ростовская область,231363.8,243726.6,,1.3603043294185022e-13,,,0.0,,37,Ростовская область,665244.0,455615.0,209629.0,0.0
8,8,8,57.850811,61.695,Алапаевск,0.613774447066366,38198.0,Уральский,Свердловская область,22.2,35.0,1510.0,0.05,2.0,,,,,,,,,,,,24.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,3.218875824868201,-6.29,7.43,3.4379350114359557,0.86,44.57,93.86,15.749465962223544,73.57,724.0,753.0,8.260635280539555,741.0,3.0,8.0,1.6242214252050853,5.0,Свердловская область,Свердловская область,204332.99,239794.0,241903.99,217770.99,141359.0,73217.0,87066.0,31828.99,12529.0,38569.99,50140.0,53146.0,44800.0,26469.0,14085.0,18431.0,7500.0,3491.0,Свердловская область,Свердловская область,64.0,46.5,31.8,70.4,86.5,Свердловская область,TRUE,1604.0,2093.0,2436.0,3075.0,3979.0,4181.0,3949.0,4291.0,4869.0,4582.0,4831.0,4504.0,4435.0,4606.0,4620.0,4913.0,5270.0,4682.0,4663.0,4745.0,4317.0,4088.0,3994.0,4036.0,3753.0,3147.0,Свердловская область,33807991.09,359375331.19,89106957.49,1002631.2,5721832.9,35325618.29,5425208.4,401787.9,28568849.9,24943104.6,28216405.6,517543.8,4529400.0,2163263.69,5356646.7,15067269.5,5035052.6,Свердловская область,787730.0,48167.99,,,,,,,,,,,,Свердловская область,Свердловская область,234064.4,237002.1,,8.021000799361589e-13,,,0.0,,61,Свердловская область,623170.0,518601.0,104569.0,0.0
9,9,9,54.84582955,46.5627484284573,Алатырь,0.5886688924656,38202.0,Приволжский,Чувашия,67.27,34.7,422.0,0.08,1.0,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6931471805599453,-1.57,5.86,2.1422113630100843,2.71,66.57,98.83,10.116327114408383,84.0,734.0,762.0,8.236388482708604,753.0,1.0,9.0,2.1865389045137933,5.0,Республика Чувашия,Республика Чувашия,45837.0,52383.0,50569.0,40031.0,25520.99,13701.0,13546.0,5172.0,2151.0,36842.99,40448.0,36911.0,27246.99,17318.0,11813.0,14750.0,8001.0,2724.0,Чувашская Республика - Чувашия,Чувашская Республика - Чувашия,62.3,41.2,32.4,68.4,85.9,Чувашская Республика - Чувашия,TRUE,431.0,456.0,526.0,732.0,957.0,1184.0,886.0,995.0,1062.0,997.0,1148.0,954.0,1084.0,1054.0,1052.0,994.0,1087.0,1032.0,939.0,907.0,811.0,729.0,715.0,647.0,606.0,540.0,Чувашская Республика - Чувашия,5989574.8,48212637.9,6405276.1,266485.39,758948.6,7286455.8,1103205.39,104197.5,4063295.4,3491114.9,3570215.6,343485.6,598229.0,265350.0,522183.49,914119.0,707333.6,Чувашская Республика - Чувашия,133295.0,33412.0,,,,,,,,,,,,Республика Чувашия,Республика Чувашия,66349.1,68861.4,,7.02597477466913e-14,6.732047542042461e-05,,0.0,0.0,51,Чувашия,169455.0,89861.0,79594.0,0.0
